epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.992,1.67549,3.00715,1.66061,0.40642,0.5,0.40497,0.17234,1.79286,6.81983,1.76774,0.00028,0.00028,0.00028
2,579.974,1.5472,1.86393,1.47879,0.50065,0.46429,0.42172,0.18323,1.87228,3.92459,1.83412,0.00054172,0.00054172,0.00054172
3,861.973,1.52049,1.58599,1.46448,0.27318,0.57051,0.25736,0.09599,2.13168,5.75527,2.16844,0.00076384,0.00076384,0.00076384
4,1139.01,1.57503,1.35729,1.52244,0.31571,0.32143,0.24649,0.08779,2.18713,3.47196,2.2636,0.00094636,0.00094636,0.00094636
5,1443.1,1.61307,1.36848,1.53472,0.31307,0.48214,0.37552,0.19276,1.76282,9.41461,1.84545,0.00108928,0.00108928,0.00108928
6,1715.11,1.81916,1.61556,1.66714,0.11143,0.57143,0.17747,0.04843,2.40384,25.5659,2.57118,0.0011926,0.0011926,0.0011926
7,1988,1.69743,1.50518,1.5857,0.26449,0.55357,0.27958,0.13628,1.77632,9.66337,1.87514,0.001208,0.001208,0.001208
8,2262.34,1.70459,1.55746,1.63562,0.24364,0.39286,0.26865,0.10328,1.82301,10.901,1.94498,0.001076,0.001076,0.001076
9,26195.4,1.57521,1.35723,1.54883,0.60236,0.45994,0.50492,0.22988,1.90206,4.84306,2.03338,0.000944,0.000944,0.000944
10,26454.1,1.52292,1.156,1.53383,0.45443,0.32143,0.36397,0.13655,2.26509,3.98743,2.12026,0.000812,0.000812,0.000812
11,26711.4,1.49668,1.08779,1.50302,0.49453,0.57659,0.49164,0.22652,1.80076,1.86919,1.77115,0.00068,0.00068,0.00068
12,26972.4,1.50273,1.12399,1.48453,0.6569,0.71801,0.68138,0.3731,1.55937,1.44142,1.54758,0.000548,0.000548,0.000548
13,28078.2,1.33362,1.0003,1.41926,0.88634,0.8356,0.91533,0.53296,1.4393,1.12127,1.49966,0.000416,0.000416,0.000416
14,28339.2,1.33586,0.94799,1.36347,0.93813,0.82143,0.92832,0.51068,1.4863,1.01405,1.4831,0.000284,0.000284,0.000284
15,31249.2,1.27316,0.88446,1.3285,0.85021,0.9122,0.9422,0.58077,1.41685,0.91718,1.39366,0.000152,0.000152,0.000152
