epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.332,1.84381,3.85873,1.78653,0.16871,0.28571,0.11365,0.03282,2.30313,3.81856,1.8279,0.00028,0.00028,0.00028
2,740.37,1.71446,2.17131,1.556,0.48375,0.55357,0.5358,0.27139,1.71151,4.65808,1.61136,0.00052258,0.00052258,0.00052258
3,1106.98,1.74209,1.86363,1.5939,0.50627,0.33929,0.34665,0.18521,1.98723,3.28997,1.70976,0.00070576,0.00070576,0.00070576
4,1398.79,1.72316,1.6432,1.48437,0.21917,0.76786,0.47446,0.17891,2.02692,13.7015,1.90661,0.00082954,0.00082954,0.00082954
5,1714.31,1.72132,1.54923,1.52475,0.48419,0.625,0.55059,0.19232,2.23364,5.28882,2.04205,0.00089392,0.00089392,0.00089392
6,2011.8,1.69569,1.46642,1.54922,0.28733,0.73214,0.55035,0.26972,1.61078,13.2458,1.59228,0.0008989,0.0008989,0.0008989
7,2289.73,1.6355,1.40809,1.46308,0.54684,0.44643,0.51281,0.29751,1.48038,3.27983,1.40806,0.000812,0.000812,0.000812
8,4026.14,1.55952,1.31963,1.42221,0.56277,0.60714,0.59906,0.30368,1.5504,3.27441,1.45065,0.000614,0.000614,0.000614
9,4303.67,1.41153,1.1506,1.31948,0.79976,0.78455,0.82361,0.4444,1.39932,1.53117,1.33295,0.000416,0.000416,0.000416
10,4572.38,1.37868,1.04094,1.33016,0.80528,0.88629,0.91002,0.51078,1.42554,1.17566,1.37077,0.000218,0.000218,0.000218
